pl_name,pl_orbper,pl_rade,pl_bmasse,sy_dist,ra,dec,sky_coord.ra,sky_coord.dec
11 Com b,,,5434.7,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 Com b,326.03,,6165.6,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 Com b,323.21,,4914.89849,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 UMi b,516.21997,,4684.8142,125.321,229.2745954,71.8239428,229.2745954,71.8239428
11 UMi b,,,3432.4,125.321,229.2745954,71.8239428,229.2745954,71.8239428
11 UMi b,516.22,,3337.07,125.321,229.2745954,71.8239428,229.2745954,71.8239428
14 And b,186.76,,1131.1513,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 And b,,,1017.0,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 And b,185.84,,1525.5,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 Her b,1773.4,,1474.67,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1766.0,,1581.138,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1765.0389,,2559.47216,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1773.40002,,1481.0878,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1796.4,,1506.45,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1766.41,,1541.46777,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1724.0,,1554.12,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,,,1440.663,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
16 Cyg B b,799.45,,556.83537,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,798.5,,533.9544,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,800.8,,476.7,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,799.5,,533.93,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,799.5,,533.93,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,798.5,,565.7374,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
17 Sco b,578.38,,1373.01872,124.953,243.4620874,-11.8377905,243.4620874,-11.8377905
18 Del b,993.3,,3273.5,76.222,314.6078375,10.8391378,314.6078375,10.8391378
18 Del b,982.85,,2926.24614,76.222,314.6078375,10.8391378,314.6078375,10.8391378
18 Del b,,,3127.3,76.222,314.6078375,10.8391378,314.6078375,10.8391378
1RXS J160929.1-210524 b,,,4000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,,3000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,,3000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,18.647,2543.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
24 Boo b,30.3506,,289.2253,95.9863,217.1555242,49.8446488,217.1555242,49.8446488
24 Boo b,30.33,,280.64248,95.9863,217.1555242,49.8446488,217.1555242,49.8446488
24 Sex b,452.8,,632.46,72.0691,155.8684866,-0.9023998,155.8684866,-0.9023998
